"Código Indicador","Código Provincia","Provincia","Código Cantón","Cantón","País","Dimensión","Subcategoría","Indicador","Área","Sexo","Dato Numérico","Población","Dato Cualitativo","Año","Mes","Fuente","Unidad de medida","Grupo","ODS"
2018,"04","Carchi","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,3,"ACLED","Protestas","Paz","ODS 16"
2018,"16","Pastaza","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,3,"ACLED","Protestas","Paz","ODS 16"
2018,"07","El Oro","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,3,"ACLED","Protestas","Paz","ODS 16"
2018,"23","Santo Domingo de los Tsáchilas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,3,"ACLED","Protestas","Paz","ODS 16"
2018,"00","Total Nacional","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","44","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,3,"ACLED","Protestas","Paz","ODS 16"
2018,"11","Loja","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","4","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"01","Azuay","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","5","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"04","Carchi","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"13","Manabí","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","4","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"17","Pichincha","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","5","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"08","Esmeraldas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"06","Chimborazo","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","4","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"10","Imbabura","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"09","Guayas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","6","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"05","Cotopaxi","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"20","Galápagos","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","3","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"07","El Oro","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"18","Tungurahua","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"12","Los Ríos","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"23","Santo Domingo de los Tsáchilas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"00","Total Nacional","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","43","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,2,"ACLED","Protestas","Paz","ODS 16"
2018,"11","Loja","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,1,"ACLED","Protestas","Paz","ODS 16"
2018,"01","Azuay","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,1,"ACLED","Protestas","Paz","ODS 16"
2018,"17","Pichincha","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,1,"ACLED","Protestas","Paz","ODS 16"
2018,"13","Manabí","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,1,"ACLED","Protestas","Paz","ODS 16"
2018,"09","Guayas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","6","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,1,"ACLED","Protestas","Paz","ODS 16"
2018,"08","Esmeraldas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,1,"ACLED","Protestas","Paz","ODS 16"
2018,"18","Tungurahua","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,1,"ACLED","Protestas","Paz","ODS 16"
2018,"00","Total Nacional","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","14","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2021,1,"ACLED","Protestas","Paz","ODS 16"
2018,"11","Loja","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","4","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"09","Guayas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","11","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"06","Chimborazo","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"01","Azuay","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","9","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"02","Bolívar","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"10","Imbabura","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"17","Pichincha","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","8","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"07","El Oro","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"13","Manabí","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"22","Orellana","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"04","Carchi","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"18","Tungurahua","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","3","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"23","Santo Domingo de los Tsáchilas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"24","Santa Elena","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"00","Total Nacional","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","48","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,12,"ACLED","Protestas","Paz","ODS 16"
2018,"17","Pichincha","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","10","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,11,"ACLED","Protestas","Paz","ODS 16"
2018,"01","Azuay","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","4","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,11,"ACLED","Protestas","Paz","ODS 16"
2018,"09","Guayas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","14","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,11,"ACLED","Protestas","Paz","ODS 16"
2018,"11","Loja","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","6","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,11,"ACLED","Protestas","Paz","ODS 16"
2018,"05","Cotopaxi","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,11,"ACLED","Protestas","Paz","ODS 16"
2018,"18","Tungurahua","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,11,"ACLED","Protestas","Paz","ODS 16"
2018,"23","Santo Domingo de los Tsáchilas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,11,"ACLED","Protestas","Paz","ODS 16"
2018,"19","Zamora Chinchipe","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,11,"ACLED","Protestas","Paz","ODS 16"
2018,"00","Total Nacional","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","40","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,11,"ACLED","Protestas","Paz","ODS 16"
2018,"13","Manabí","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"17","Pichincha","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","10","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"06","Chimborazo","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"19","Zamora Chinchipe","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"11","Loja","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","4","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"01","Azuay","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"09","Guayas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","5","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"08","Esmeraldas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"04","Carchi","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"23","Santo Domingo de los Tsáchilas","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"10","Imbabura","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","2","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"18","Tungurahua","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"00","Total Nacional","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","32","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,10,"ACLED","Protestas","Paz","ODS 16"
2018,"17","Pichincha","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","8","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,9,"ACLED","Protestas","Paz","ODS 16"
2018,"01","Azuay","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","5","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,9,"ACLED","Protestas","Paz","ODS 16"
2018,"24","Santa Elena","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,9,"ACLED","Protestas","Paz","ODS 16"
2018,"07","El Oro","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,9,"ACLED","Protestas","Paz","ODS 16"
2018,"10","Imbabura","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,9,"ACLED","Protestas","Paz","ODS 16"
2018,"16","Pastaza","0000","Total Nacional","Ecuador","Cohesión social, equidad y no discriminación","Estabilidad política","Protestas registradas","Total","Total","1","No Aplica","Datos corresponden a eventos de tipo Protestas (protests). Se excluyen Disturbios (riots). Protestas son definidas como manifestaciones no-violentas, que típicamente involucran acciones desorganizadas por miembros de la sociedad.",2020,9,"ACLED","Protestas","Paz","ODS 16"
